City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,lamu,-2.2717,40.902,27.12,84,98,4.61,KE,1701888327
250,pimampiro,0.4,-77.9667,21.84,60,100,2.15,EC,1701888327
251,tura,25.5198,90.2201,20.08,72,100,1.1,IN,1701888061
252,ola,59.5833,151.2833,-18.09,69,100,5.8,RU,1701888327
253,revda,56.801,59.9303,-30.64,99,19,0.88,RU,1701888327
254,santiago de cao,-7.9589,-79.2392,21.07,78,75,5.14,PE,1701888328
255,chibougamau,49.9168,-74.3659,-11.21,79,75,2.06,CA,1701888328
256,port alberni,49.2413,-124.8028,7.91,95,90,0.45,CA,1701888328
257,hede,33.7681,120.2517,5.34,40,0,3.25,CN,1701888329
258,general conesa,-40.1,-64.4333,29.78,23,73,4.36,AR,1701888329
259,dudinka,69.4058,86.1778,-29.62,93,100,3.13,RU,1701888075
260,mitu,1.1983,-70.1733,27.37,88,74,1.15,CO,1701888116
261,vilyuchinsk,52.9306,158.4028,-8.37,83,100,2.55,RU,1701888108
262,harda khas,22.3333,77.1,19.44,83,56,3.39,IN,1701888330
263,sesimbra,38.4445,-9.1015,14.62,69,100,0.82,PT,1701888330
264,changling,44.2653,124.0005,-12.53,88,5,2.27,CN,1701888330
265,klyuchi,52.2667,79.1667,-11.18,69,100,9.54,RU,1701888059
266,magong,23.5654,119.5863,21.6,56,73,12.39,TW,1701888330
267,sidmouth,50.6909,-3.2397,9.37,84,20,6.69,GB,1701888331
268,kittila,67.6647,24.8936,-13.92,85,75,0.51,FI,1701888331
269,la passe,45.5549,-0.8967,6.1,87,95,4.41,FR,1701888331
270,tamanrasset,22.785,5.5228,19.95,14,0,2.57,DZ,1701888129
271,pisco,-13.7,-76.2167,24.03,69,0,4.12,PE,1701888062
272,nar'yan-mar,67.6713,53.087,-17.67,97,100,3.14,RU,1701888066
273,jucurutu,-6.0339,-37.0203,37.84,22,40,4.9,BR,1701888332
274,st. john's,47.5649,-52.7093,-2.34,81,75,6.69,CA,1701888081
275,puerto cabezas,14.0351,-83.3888,29.98,79,75,7.2,NI,1701888332
276,kuala terengganu,5.3302,103.1408,25.97,94,40,1.03,MY,1701888333
277,flin flon,54.7682,-101.865,-1.09,100,20,2.06,CA,1701888333
278,myrina,39.8797,25.0742,12.58,88,75,6.17,GR,1701888333
279,margaret river,-33.95,115.0667,13.34,86,99,4.22,AU,1701887907
280,ciudad pemex,17.9,-92.5,28.34,78,20,4.3,MX,1701888333
281,lospalos,-8.5186,127.0025,23.54,93,100,0.82,TL,1701888333
282,saint-francois,46.4154,3.9054,2.69,94,100,0.51,FR,1701888133
283,vorgashor,67.5833,63.95,-29.95,99,13,1.08,RU,1701888099
284,ust'-ilimsk,58.0006,102.6619,-36.42,99,12,1.34,RU,1701888334
285,sept-iles,50.2001,-66.3821,-2.71,65,75,4.12,CA,1701888334
286,sinabang,2.4803,96.3801,26.43,85,100,3.85,ID,1701887928
287,tolanaro,-25.0319,46.9987,25.04,78,75,5.14,MG,1701888099
288,high river,50.5834,-113.8687,6.2,64,100,1.61,CA,1701888335
289,san andres,12.5847,-81.7006,32.01,66,40,6.69,CO,1701888335
290,mossendjo,-2.9506,12.7261,21.39,96,10,0.68,CG,1701888335
291,new norfolk,-42.7826,147.0587,11.72,86,100,1.1,AU,1701888082
292,novoishimskiy,53.1981,66.7694,-21.6,98,95,3.4,KZ,1701888336
293,ingeniero guillermo n. juarez,-23.9,-61.85,30.78,56,99,3.07,AR,1701888087
294,el matama,16.7095,33.3565,27.02,24,34,4.87,SD,1701888336
295,celestun,20.8667,-90.4,26.3,65,97,8.87,MX,1701888079
296,bocas del toro,9.3333,-82.25,27.22,71,61,3.58,PA,1701888336
297,urucara,-2.5364,-57.76,34.57,41,64,2.01,BR,1701888337
298,neiafu,-18.65,-173.9833,26.38,83,75,3.6,TO,1701888112
299,hilo,19.7297,-155.09,22.36,97,100,2.57,US,1701888016
300,fort mcmurray,56.7268,-111.381,3.77,65,0,6.69,CA,1701888143
301,mazatlan,23.2167,-106.4167,28.98,60,75,2.24,MX,1701888279
302,sidney,-33.8679,151.2073,19.28,88,88,0.45,AU,1701888244
303,praia da vitoria,38.7333,-27.0667,20.14,88,75,9.1,PT,1701887963
304,dedham,42.2418,-71.1662,2.52,69,100,4.63,US,1701888044
305,lambarene,-0.7001,10.2406,24.78,90,98,1.06,GA,1701888338
306,verkh-tula,54.8839,82.7762,-21.81,77,75,3.0,RU,1701888338
307,daru,-9.0763,143.2092,25.35,87,31,2.95,PG,1701888117
308,dilling,12.05,29.65,24.24,17,84,4.04,SD,1701888339
309,lensk,60.7253,114.9278,-42.47,100,92,0.6,RU,1701888339
310,isiolo,0.3546,37.5822,20.38,75,12,1.91,KE,1701888199
311,khandyga,62.6667,135.6,-48.42,99,100,0.27,RU,1701888068
312,badnawar,23.0167,75.2167,19.37,73,87,3.85,IN,1701888340
313,port macquarie,-31.4333,152.9167,17.72,93,15,1.22,AU,1701888231
314,new castle,41.0037,-80.347,3.49,65,100,4.12,US,1701888157
315,east london,-33.0153,27.9116,18.52,88,100,5.66,ZA,1701887974
316,luderitz,-26.6481,15.1594,17.02,90,0,4.43,NA,1701888103
317,lautoka,-17.6167,177.4667,23.92,88,40,3.09,FJ,1701887822
318,constantia,44.1833,28.65,5.39,81,100,8.53,RO,1701888059
319,kodiak,57.79,-152.4072,-1.27,55,0,12.86,US,1701888066
320,rundu,-17.9333,19.7667,28.35,33,87,2.31,NA,1701888342
321,castillos,-34.1667,-53.8333,20.15,94,100,1.58,UY,1701888342
322,ust-nera,64.5667,143.2,-46.04,91,11,0.68,RU,1701887976
323,hirara,24.8,125.2833,20.92,72,100,8.75,JP,1701887958
324,chandler,33.3062,-111.8412,26.53,25,20,0.45,US,1701888311
325,marsh harbour,26.5412,-77.0636,22.29,59,60,10.83,BS,1701888084
326,saipan,15.1355,145.701,27.39,83,40,4.63,MP,1701888068
327,segezha,63.7415,34.3222,-16.13,98,95,0.68,RU,1701888343
328,masterton,-40.9597,175.6575,14.38,71,12,3.44,NZ,1701888118
329,pervomayskoye,43.919,46.7102,7.18,72,100,9.03,RU,1701888343
