days,pledged,goal_surpassed
20,2562,1062
31,8255,555
17,2850,200
30,2506,506
33,14057,2057
36,1938.28,92.29999999999995
30,4208,2208
30,5387,387
30,9527,527
34,10178,178
29,2207,207
12,3405,905
30,5145,145
30,9228.66,228.65999999999985
32,8076,1576
60,1214,214
30,20764.53,1419.1800000000003
30,2875.83,200.63999999999987
30,10406,306
60,10795,795
30,5475,475
30,5155,155
17,925.59,165.44000000000005
30,1000,0
30,12234.75,5291.8
30,5275,275
32,19770,4770
33,1657,657
30,5150,150
38,9934.68,1803.7200000000003
24,930,280
31,3135.77,1910.22
22,15195,195
14,1455,755
43,9308.84,649.460000000001
40,20535.2,535.2000000000007
30,1826,26
30,9355,3355
30,2287,1687
30,788.88,246.42999999999995
15,25805.85,21305.85
72,6089,1089
45,8041,541
36,1327,827
30,11507,1507
30,12484.97,154.1299999999992
30,825.33,249.19000000000005
25,14851,12851
45,8354,354
14,2046.13,46.13000000000011
30,1135,135
30,25025,275
30,954,554
30,901,401
30,1281.57,282.28999999999996
28,12497,497
30,10375,375
20,28490.42,18490.42
30,12582.41,1721.4599999999991
30,520,20
31,1200,0
28,2819,819
20,1670,170
30,14472.18,2472.1800000000003
45,18979,3979
31,7940.5,440.5
15,305.01,5.009999999999991
30,646,496
43,30806.06,3306.0600000000013
29,2696,296
7,1533.65,7.630000000000109
31,3436,436
35,5436,2436
24,4590,1590
30,6758,1258
14,21011,1011
30,2778,778
33,1561,61
30,16602,6602
32,320,20
29,2705.69,1087.13
90,3520.92,20.920000000000073
46,11720,1720
30,2605,130
45,46437.42,25285.55
38,2436,436
35,2101,101
30,1189.19,313.71000000000004
30,6280,280
35,5302.42,295.40999999999985
30,1573.24,271.97
40,14980.01,7813.91
47,5599,399
23,882,82
58,376,76
59,8424.5,424.5
25,6031,31
30,23001,3001
29,8377.39,415.6099999999997
30,1300.98,300.98
33,12242,242
31,16926,4926
30,903,103
50,8390.06,169.35000000000036
2,12701,12601
30,593.34,0
25,1540,40
29,502,2
45,15424.25,424.25
10,780,280
55,34554.78,24160.489999999998
60,4409.77,409.77000000000044
30,12695,695
45,25269.61,269.6100000000006
60,1016,16
16,10903.17,903.1700000000001
34,27788.18,481.76000000000204
60,4240,540
57,132023.5,117023.5
30,6128.7,1.5299999999997453
25,931.53,0
30,141072.95,67056.99
22,2557.01,57.01000000000022
30,2697,97
30,2479.03,1592.6600000000003
35,40905.35,30905.35
32,32000,29000
30,11040,1040
30,4956.66,3.300000000000182
18,4019,19
41,116270,56270
16,16595,6595
56,11305,8805
30,3774,110.75
9,1170,170
30,1487.83,59.97000000000003
30,17000,7000
46,3327,327
30,203188,183188
60,5025.5,25.5
38,6003.4,1003.3999999999996
23,3375,375
31,3050,820
30,946,176
15,3230,730
26,598.52,123.50999999999999
27,5522,2022
30,3345,345
31,12307,307
30,1307,307
29,3076,76
30,12082.04,7782.380000000001
60,172301.53,122301.53
29,1715,715
57,2132.07,139.48000000000025
30,6172.61,1172.6099999999997
60,6127.17,0
60,22928.77,2928.7700000000004
36,7560,1060
23,4729.49,1184.1499999999996
30,2101,601
30,4102,502
30,10609,609
34,9638,138
30,19880,1880
45,575,75
30,70442,2442
35,3900,900
30,12675.21,2675.209999999999
31,25206,23556
37,2427.88,307.8800000000001
30,18252.12,14026.109999999999
50,11567,1567
30,23141.5,9141.5
30,4820,820
32,3143,2643
31,44873,29873
31,27238,2238
60,1849.69,349.69000000000005
38,846,346
15,3805,305
29,52837,12837
48,8105,4105
20,3011.69,2211.69
37,21390,1390
33,4179,179
30,10724.54,724.5400000000009
30,301,101
22,10802,3802
30,36082,1082
30,286,86
32,7854.66,6854.66
31,1725.68,234.10000000000014
30,4116,366
30,26893,19393
45,770.89,270.89
45,10174.59,174.59000000000015
60,513770.73,426538.29
30,539.43,29.88999999999993
34,6634,2034
30,2805,805
10,5476,5226
