Time,phase,Mag
2459630.8731829,0.69237,-0.626708
2459630.8743634,0.69924,-0.585212
2459630.875544,0.70611,-0.614776
2459630.8766551,0.71257,-0.606662
2459630.8778356,0.71944,-0.614284
2459630.8791088,0.72685,-0.613578
2459630.8802315,0.73338,-0.63007
2459630.8814815,0.74065,-0.631967
2459630.8827431,0.74799,-0.617574
2459630.8840046,0.75533,-0.607627
2459630.8852431,0.76254,-0.581184
2459630.8865741,0.77028,-0.616348
2459630.8877083,0.77688,-0.610505
2459630.8988542,0.84173,-0.611201
2459630.9001505,0.84927,-0.618847
2459630.9013194,0.85607,-0.624092
2459630.902581,0.86341,-0.605707
2459630.9038426,0.87075,-0.580537
2459630.9048843,0.87681,-0.595896
2459630.9060301,0.88348,-0.622446
2459630.9070718,0.88954,-0.643143
2459630.9082176,0.89620,-0.64256
2459630.9093287,0.90267,-0.616218
2459630.910463,0.90927,-0.651177
2459630.9116204,0.91600,-0.640584
2459630.9127662,0.92267,-0.627496
2459630.9138426,0.92893,-0.626312
2459630.9149537,0.93539,-0.658257
2459630.9160995,0.94206,-0.670134
2459630.7541782,1.00000,-0.556578
2459630.926412,1.00206,-0.548361
2459630.7552662,1.00633,-0.559693
2459630.9275579,1.00873,-0.582526
2459630.7564468,1.01320,-0.587911
2459630.9287037,1.01539,-0.548016
2459630.7575463,1.01960,-0.555558
2459630.9298495,1.02206,-0.553639
2459630.7586227,1.02586,-0.57918
2459630.9309954,1.02872,-0.539377
2459630.7597106,1.03219,-0.552465
2459630.9321528,1.03546,-0.543608
2459630.7608565,1.03885,-0.553143
2459630.9333218,1.04226,-0.558337
2459630.7619676,1.04532,-0.564963
2459630.9345718,1.04953,-0.523429
2459630.7630093,1.05138,-0.518657
2459630.9356134,1.05559,-0.558196
2459630.7641435,1.05798,-0.517617
2459630.9367593,1.06226,-0.517013
2459630.7652315,1.06431,-0.500608
2459630.9379051,1.06893,-0.518053
2459630.7663079,1.07057,-0.517997
2459630.9390509,1.07559,-0.519761
2459630.7673495,1.07663,-0.500351
2459630.9400926,1.08165,-0.528043
2459630.7684259,1.08289,-0.497598
2459630.9412384,1.08832,-0.496125
2459630.7696065,1.08976,-0.496492
2459630.9424884,1.09559,-0.51362
2459630.7707176,1.09623,-0.498938
2459630.7718287,1.10269,-0.525437
2459630.9447801,1.10892,-0.456075
2459630.7729745,1.10936,-0.488996
2459630.7740972,1.11589,-0.48753
2459630.9460301,1.11620,-0.529563
2459630.7753125,1.12296,-0.494007
2459630.9472222,1.12313,-0.46481
2459630.776412,1.12936,-0.499921
2459630.9485417,1.13081,-0.530872
2459630.7775347,1.13589,-0.473444
2459630.9496875,1.13748,-0.417578
2459630.7786458,1.14235,-0.494002
2459630.9508333,1.14414,-0.489935
2459630.7797801,1.14895,-0.481081
2459630.9519792,1.15081,-0.473664
2459630.7808218,1.15501,-0.480817
2459630.9532407,1.15815,-0.518188
2459630.7819792,1.16175,-0.468623
2459630.954375,1.16475,-0.435576
2459630.7831713,1.16868,-0.46988
2459630.9555208,1.17141,-0.473173
2459630.7843403,1.17548,-0.451455
2459630.9566782,1.17815,-0.415176
2459630.785544,1.18249,-0.479132
2459630.9579167,1.18535,-0.468042
2459630.7866667,1.18902,-0.462401
2459630.9590625,1.19202,-0.411533
2459630.9603125,1.19929,-0.447431
2459630.7891551,1.20350,-0.451634
2459630.9615741,1.20663,-0.482881
2459630.790162,1.20935,-0.450309
2459630.9626042,1.21263,-0.492762
2459630.7911574,1.21515,-0.462745
2459630.9638657,1.21996,-0.485458
2459630.7920949,1.22060,-0.450608
